,,{uniform;explicit;math},
asset,rep_period,specification,partition
NL_E_Demand,1,uniform,4
NL_Wind_Onshore,1,uniform,4
NL_Wind_Offshore,1,uniform,4
NL_Solar,1,uniform,4
NL_Gas,1,uniform,4
NL_Battery,1,uniform,4
NL_OCGT,1,uniform,4
NL_E_Balance,1,uniform,4
NL_E_Import,1,uniform,4
BE_E_Demand,1,uniform,4
BE_Wind_Onshore,1,uniform,4
BE_Wind_Offshore,1,uniform,4
BE_Solar,1,uniform,4
BE_Gas,1,uniform,4
BE_Battery,1,uniform,4
BE_OCGT,1,uniform,4
BE_E_Balance,1,uniform,4
BE_Pump_Hydro,1,uniform,4
BE_Hydro,1,uniform,4
DE_E_Demand,1,uniform,4
DE_Wind_Onshore,1,uniform,4
DE_Wind_Offshore,1,uniform,4
DE_Solar,1,uniform,4
DE_Gas,1,uniform,4
DE_Coal,1,uniform,4
DE_Hydro,1,uniform,4
DE_Hydro_Reservoir,1,uniform,4
DE_Hydro_Reservoir_Inflow,1,uniform,4
DE_Pump_Hydro_Open,1,uniform,4
DE_Pump_Hydro_Open_Inflow,1,uniform,4
DE_Pump_Hydro_Closed,1,uniform,4
DE_E_Balance,1,uniform,4
DE_Battery,1,uniform,4
DE_OCGT,1,uniform,4
FR_Wind_Onshore,1,uniform,4
FR_Wind_Offshore,1,uniform,4
FR_Solar,1,uniform,4
FR_Gas,1,uniform,4
FR_Nuclear,1,uniform,4
FR_Hydro,1,uniform,4
FR_Pump_Hydro_Closed,1,uniform,4
FR_Pump_Hydro_Open,1,uniform,4
FR_Hydro_Reservoir,1,uniform,4
FR_Hydro_Reservoir_Inflow,1,uniform,4
FR_OCGT,1,uniform,4
FR_E_Demand,1,uniform,4
FR_E_Balance,1,uniform,4
DK_Wind_Onshore,1,uniform,4
DK_Wind_Offshore,1,uniform,4
DK_Solar,1,uniform,4
DK_Gas,1,uniform,4
DK_E_Demand,1,uniform,4
DK_E_Balance,1,uniform,4
DK_OCGT,1,uniform,4
UK_Wind_Onshore,1,uniform,4
UK_Wind_Offshore,1,uniform,4
UK_Solar,1,uniform,4
UK_Gas,1,uniform,4
UK_Nuclear,1,uniform,4
UK_Hydro,1,uniform,4
UK_Pump_Hydro_Closed,1,uniform,4
UK_E_Demand,1,uniform,4
UK_E_Balance,1,uniform,4
UK_Battery,1,uniform,4
UK_OCGT,1,uniform,4
IE_Wind_Onshore,1,uniform,4
IE_Wind_Offshore,1,uniform,4
IE_Solar,1,uniform,4
IE_Gas,1,uniform,4
IE_Hydro,1,uniform,4
IE_Pump_Hydro_Closed,1,uniform,4
IE_E_Demand,1,uniform,4
IE_E_Balance,1,uniform,4
IE_Battery,1,uniform,4
IE_OCGT,1,uniform,4
CH_Wind_Onshore,1,uniform,4
CH_Solar,1,uniform,4
CH_Hydro,1,uniform,4
CH_Nuclear,1,uniform,4
CH_Pump_Hydro_Closed,1,uniform,4
CH_Pump_Hydro_Open,1,uniform,4
CH_E_Demand,1,uniform,4
CH_E_Balance,1,uniform,4
CH_Battery,1,uniform,4
CH_Pump_Hydro_Open_Inflow,1,uniform,4
AT_Wind_Onshore,1,uniform,4
AT_Solar,1,uniform,4
AT_Hydro,1,uniform,4
AT_Gas,1,uniform,4
AT_Pump_Hydro_Closed,1,uniform,4
AT_Pump_Hydro_Open,1,uniform,4
AT_E_Demand,1,uniform,4
AT_E_Balance,1,uniform,4
AT_Battery,1,uniform,4
AT_Pump_Hydro_Open_Inflow,1,uniform,4
AT_Hydro_Reservoir,1,uniform,4
AT_Hydro_Reservoir_Inflow,1,uniform,4
